nu_ano_avaliacao,co_uf,co_municipio,tp_dependencia,id_aluno,id_escola,sg_uf,no_municipio,vl_proficiencia_lp,in_alfabetizado,in_presenca_lp,status_alfabetizacao,status_presenca_lp,tp_dependencia_desc,total_alunos,alunos_com_classificacao,media_proficiencia_lp,percentual_alfabetizados,percentual_nao_alfabetizados,total_alunos_ano_anterior,media_proficiencia_ano_anterior,percentual_alfabetizados_ano_anterior,percentual_nao_alfabetizados_ano_anterior,variacao_media_proficiencia,variacao_pontos_percentuais_alfabetizados,variacao_pontos_percentuais_nao_alfabetizados,variacao_total_alunos_percentual,tx_alfabetizacao_escola,vol_alunos_escola,in_alfabetizado_real,in_alfabetizado_pred,score_prob,cluster_risco
2024,51,5108402,3,51046728,60040742.0,MT,Várzea Grande,823.64,1,1,Alfabetizado,Presente,Municipal,3507,3507,754.95,61.88,38.12,,,,,,,,,0.44,65,1,0,28.62,Alto
2024,35,3522901,3,35095309,60030585.0,SP,Itapuí,669.4958503,0,1,Não Alfabetizado,Presente,Municipal,147,147,740.26,53.06,46.94,,,,,,,,,0.5665399239543726,253,0,0,42.97,Alto
2025,15,1506583,3,15060960,60003397.0,PA,Santa Maria das Barreiras,772.2182593,1,1,Alfabetizado,Presente,Municipal,273,273,763.39,73.63,26.37,246.0,731.35,43.09,56.91,32.04,30.54,-30.54,10.98,0.5402298850574713,77,1,1,58.04,Medio
2024,35,3513207,3,35062654,60028444.0,SP,Cristais Paulista,667.6768528,0,1,Não Alfabetizado,Presente,Municipal,90,90,738.29,50.0,50.0,,,,,,,,,0.55,150,0,0,43.41,Alto
2025,31,3170107,3,31125250,60021714.0,MG,Uberaba,766.1827449,1,1,Alfabetizado,Presente,Municipal,2041,2041,744.01,61.24,38.76,2006.0,743.25,57.98,42.02,0.76,3.26,-3.26,1.74,0.5815217391304348,174,1,0,42.06,Alto
2025,28,2805604,3,28065747,60014818.0,SE,Porto da Folha,666.5840901,0,1,Não Alfabetizado,Presente,Municipal,268,268,717.54,32.46,67.54,210.0,701.51,17.62,82.38,16.03,14.84,-14.84,27.62,0.42424242424242425,23,0,0,29.37,Alto
2024,35,3522505,3,35280219,60028257.0,SP,Itapevi,803.5230049,1,1,Alfabetizado,Presente,Municipal,3253,3253,745.99,55.61,44.39,,,,,,,,,0.7443946188340808,213,1,1,62.64,Medio
2024,32,3202652,3,32041858,60022814.0,ES,Irupi,711.59,0,1,Não Alfabetizado,Presente,Municipal,142,142,768.85,81.69,18.31,,,,,,,,,0.7692307692307693,42,0,1,74.47,Baixo
2025,35,3518800,3,35274686,60031036.0,SP,Guarulhos,768.51097,1,1,Alfabetizado,Presente,Municipal,10870,10870,733.02,52.01,47.99,9951.0,733.31,44.39,55.61,-0.29,7.62,-7.62,9.24,0.4673202614379085,296,1,0,32.71,Alto
2025,14,1400308,3,14010023,60001596.0,RR,Mucajaí,778.9051042,1,1,Alfabetizado,Presente,Municipal,237,237,737.85,48.95,51.05,,,,,,,,,0.514018691588785,97,1,0,38.64,Alto
2025,33,3302403,3,33122210,60026110.0,RJ,Macaé,800.7928835,1,1,Alfabetizado,Presente,Municipal,2954,2954,747.97,63.64,36.36,2721.0,743.55,59.39,40.61,4.42,4.25,-4.25,8.56,0.71875,150,1,1,58.77,Medio
2025,35,3550308,3,35372969,60029019.0,SP,São Paulo,731.31914,0,1,Não Alfabetizado,Presente,Municipal,45120,45120,737.27,53.28,46.72,41751.0,739.28,48.47,51.53,-2.01,4.81,-4.81,8.07,0.5491803278688525,112,0,0,39.16,Alto
2024,35,3516200,2,35063136,60026373.0,SP,Franca,807.4904037,1,1,Alfabetizado,Presente,Estadual,1175,1175,780.36,82.89,17.11,,,,,,,,,0.632,115,1,0,49.39,Medio
2025,33,3304557,3,33072847,60026363.0,RJ,Rio de Janeiro,736.6559723,0,1,Não Alfabetizado,Presente,Municipal,42955,42955,753.61,68.42,31.58,43340.0,747.64,64.25,35.75,5.97,4.17,-4.17,-0.89,0.7230769230769231,185,0,1,64.03,Medio
2025,33,3306107,3,33019698,60024642.0,RJ,Valença,714.4213284,0,1,Não Alfabetizado,Presente,Municipal,736,736,748.93,65.22,34.78,718.0,738.09,55.71,44.29,10.84,9.51,-9.51,2.51,0.6728971962616822,97,0,1,56.92,Medio
2024,23,2307650,3,23029147,60009043.0,CE,Maracanaú,795.65,1,1,Alfabetizado,Presente,Municipal,3073,3073,791.37,84.9,15.1,,,,,,,,,0.8532110091743119,99,1,1,80.06,Baixo
2025,33,3302700,3,33008310,60026578.0,RJ,Maricá,695.6634513,0,1,Não Alfabetizado,Presente,Municipal,2287,2287,753.86,68.39,31.61,1946.0,742.75,59.76,40.24,11.11,8.63,-8.63,17.52,0.6756756756756757,249,0,1,58.6,Medio
2024,35,3550308,3,35361027,60027004.0,SP,São Paulo,753.38961,1,1,Alfabetizado,Presente,Municipal,41751,41751,739.28,48.47,51.53,,,,,,,,,0.5941422594142259,229,1,0,43.27,Alto
2025,26,2604106,3,26020431,60013784.0,PE,Caruaru,751.7255362,1,1,Alfabetizado,Presente,Municipal,3241,3241,754.34,65.13,34.87,3085.0,743.21,58.31,41.69,11.13,6.82,-6.82,5.06,0.5346534653465347,91,1,0,44.06,Alto
2025,43,4303202,3,43078065,60040696.0,RS,Cacique Doble,778.0772108,1,1,Alfabetizado,Presente,Municipal,24,24,736.35,50.0,50.0,19.0,740.99,57.89,42.11,-4.64,-7.89,7.89,26.32,0.7647058823529411,75,1,1,63.04,Medio
2025,32,3202405,3,32012625,60023932.0,ES,Guarapari,797.7700008,1,1,Alfabetizado,Presente,Municipal,1577,1577,775.88,81.55,18.45,1503.0,761.29,76.51,23.49,14.59,5.04,-5.04,4.92,0.5416666666666666,38,1,1,62.12,Medio
