modelo,acc,f1,f1_macro,roc_auc,recall_risco
logreg,0.6396999732118939,0.6893764434180139,0.6302430686477825,0.6978447850487767,0.6501851448486169
rf,0.6403428877578355,0.6897013959508181,0.6310064064361633,0.6985297322386199,0.652218107892253
xgb,0.635387088132869,0.6789328426862925,0.6285543439885735,0.7025650095886257,0.6772671168227692
